Iteration_Number  Configuration  Energy  Contact_count
225 urdolur -9.36276 5
226 urdolur -9.36276 5
227 urdolur -9.36276 5
228 urdolur -9.36276 5
254 urdolur -9.36276 5
255 urdolur -9.36276 5
256 urdolur -9.36276 5
257 urdolur -9.36276 5
258 urdolur -9.36276 5
259 urdolur -9.36276 5
260 urdolur -9.36276 5
261 urdolur -9.36276 5
286 urdolur -9.36276 5
287 urdolur -9.36276 5
288 urdolur -9.36276 5
289 urdolur -9.36276 5
290 urdolur -9.36276 5
291 urdolur -9.36276 5
292 urdolur -9.36276 5
293 urdolur -9.36276 5
294 urdolur -9.36276 5
295 urdolur -9.36276 5
296 urdolur -9.36276 5
297 urdolur -9.36276 5
298 urdolur -9.36276 5
299 urdolur -9.36276 5
300 urdolur -9.36276 5
301 urdolur -9.36276 5
302 urdolur -9.36276 5
303 urdolur -9.36276 5
304 urdolur -9.36276 5
305 urdolur -9.36276 5
306 urdolur -9.36276 5
307 urdolur -9.36276 5
308 urdolur -9.36276 5
309 urdolur -9.36276 5
310 urdolur -9.36276 5
311 urdolur -9.36276 5
312 urdolur -9.36276 5
313 urdolur -9.36276 5
314 urdolur -9.36276 5
315 urdolur -9.36276 5
316 urdolur -9.36276 5
317 urdolur -9.36276 5
318 urdolur -9.36276 5
319 urdolur -9.36276 5
320 urdolur -9.36276 5
321 urdolur -9.36276 5
322 urdolur -9.36276 5
323 urdolur -9.36276 5
324 urdolur -9.36276 5
325 urdolur -9.36276 5
326 urdolur -9.36276 5
327 urdolur -9.36276 5
328 urdolur -9.36276 5
329 urdolur -9.36276 5
330 urdolur -9.36276 5
331 urdolur -9.36276 5
332 urdolur -9.36276 5
333 urdolur -9.36276 5
334 urdolur -9.36276 5
335 urdolur -9.36276 5
336 urdolur -9.36276 5
337 urdolur -9.36276 5
338 urdolur -9.36276 5
339 urdolur -9.36276 5
340 urdolur -9.36276 5
341 urdolur -9.36276 5
342 urdolur -9.36276 5
343 urdolur -9.36276 5
344 urdolur -9.36276 5
345 urdolur -9.36276 5
346 urdolur -9.36276 5
347 urdolur -9.36276 5
348 urdolur -9.36276 5
349 urdolur -9.36276 5
350 urdolur -9.36276 5
351 urdolur -9.36276 5
352 urdolur -9.36276 5
353 urdolur -9.36276 5
354 urdolur -9.36276 5
355 urdolur -9.36276 5
356 urdolur -9.36276 5
357 urdolur -9.36276 5
358 urdolur -9.36276 5
359 urdolur -9.36276 5
360 urdolur -9.36276 5
361 urdolur -9.36276 5
362 urdolur -9.36276 5
363 urdolur -9.36276 5
364 urdolur -9.36276 5
365 urdolur -9.36276 5
366 urdolur -9.36276 5
367 urdolur -9.36276 5
368 urdolur -9.36276 5
369 urdolur -9.36276 5
382 urdolur -9.36276 5
383 urdolur -9.36276 5
384 urdolur -9.36276 5
385 urdolur -9.36276 5
386 urdolur -9.36276 5
387 urdolur -9.36276 5
388 urdolur -9.36276 5
389 urdolur -9.36276 5
390 urdolur -9.36276 5
391 urdolur -9.36276 5
392 urdolur -9.36276 5
393 urdolur -9.36276 5
394 urdolur -9.36276 5
395 urdolur -9.36276 5
396 urdolur -9.36276 5
397 urdolur -9.36276 5
398 urdolur -9.36276 5
399 urdolur -9.36276 5
995 uodriuo -9.36276 5
996 uodriuo -9.36276 5
997 uodriuo -9.36276 5
998 uodriuo -9.36276 5
1180 dourido -9.36276 5
1181 dourido -9.36276 5
1191 dourido -9.36276 5
1192 dourido -9.36276 5
1193 dourido -9.36276 5
1194 dourido -9.36276 5
1195 dourido -9.36276 5
1196 dourido -9.36276 5
1197 dourido -9.36276 5
1198 dourido -9.36276 5
1199 dourido -9.36276 5
1200 dourido -9.36276 5
1201 dourido -9.36276 5
1202 dourido -9.36276 5
1203 dourido -9.36276 5
1204 dourido -9.36276 5
1205 dourido -9.36276 5
1206 dourido -9.36276 5
1207 dourido -9.36276 5
1208 dourido -9.36276 5
1209 dourido -9.36276 5
1210 dourido -9.36276 5
1211 dourido -9.36276 5
1212 dourido -9.36276 5
1407 lordilo -9.36276 5
1408 lordilo -9.36276 5
1409 lordilo -9.36276 5
1410 lordilo -9.36276 5
1411 lordilo -9.36276 5
1412 lordilo -9.36276 5
1413 lordilo -9.36276 5
1414 lordilo -9.36276 5
1415 lordilo -9.36276 5
1416 lordilo -9.36276 5
1417 lordilo -9.36276 5
1418 lordilo -9.36276 5
1419 lordilo -9.36276 5
1420 lordilo -9.36276 5
1421 lordilo -9.36276 5
1422 lordilo -9.36276 5
1423 lordilo -9.36276 5
1424 lordilo -9.36276 5
1425 lordilo -9.36276 5
1426 lordilo -9.36276 5
1427 lordilo -9.36276 5
1428 lordilo -9.36276 5
1429 lordilo -9.36276 5
1430 lordilo -9.36276 5
