Iteration_Number  Configuration  Energy  Contact_count
3079 lurulldd -9.1 4
3080 lurulldd -9.1 4
3081 lurulldd -9.1 4
3082 lurulldd -9.1 4
3083 lurulldd -9.1 4
3088 lurulldd -9.1 4
3089 lurulldd -9.1 4
3090 lurulldd -9.1 4
3094 lurulldd -9.1 4
3095 lurulldd -9.1 4
3096 lurulldd -9.1 4
3097 lurulldd -9.1 4
3098 lurulldd -9.1 4
3099 lurulldd -9.1 4
3100 lurulldd -9.1 4
3101 lurulldd -9.1 4
3102 lurulldd -9.1 4
3103 lurulldd -9.1 4
3104 lurulldd -9.1 4
3105 lurulldd -9.1 4
3106 lurulldd -9.1 4
3107 lurulldd -9.1 4
3108 lurulldd -9.1 4
3109 lurulldd -9.1 4
3110 lurulldd -9.1 4
3111 lurulldd -9.1 4
3112 lurulldd -9.1 4
3113 lurulldd -9.1 4
3114 lurulldd -9.1 4
3123 lurulldd -9.1 4
3124 lurulldd -9.1 4
3126 lurulldd -9.1 4
3127 lurulldd -9.1 4
3128 lurulldd -9.1 4
3129 lurulldd -9.1 4
3130 lurulldd -9.1 4
3131 lurulldd -9.1 4
3132 lurulldd -9.1 4
3133 lurulldd -9.1 4
3134 lurulldd -9.1 4
3135 lurulldd -9.1 4
3136 lurulldd -9.1 4
3137 lurulldd -9.1 4
3138 lurulldd -9.1 4
3148 lurulldd -9.1 4
3149 lurulldd -9.1 4
3150 lurulldd -9.1 4
3151 lurulldd -9.1 4
3154 lurulldd -9.1 4
3155 lurulldd -9.1 4
3156 lurulldd -9.1 4
3157 lurulldd -9.1 4
3164 lurulldd -9.1 4
3169 lurulldd -9.1 4
3170 lurulldd -9.1 4
3171 lurulldd -9.1 4
3172 lurulldd -9.1 4
3173 lurulldd -9.1 4
3174 lurulldd -9.1 4
3175 lurulldd -9.1 4
3176 lurulldd -9.1 4
3177 lurulldd -9.1 4
3178 lurulldd -9.1 4
3179 lurulldd -9.1 4
3180 lurulldd -9.1 4
3181 lurulldd -9.1 4
3185 lurulldd -9.1 4
3186 lurulldd -9.1 4
3187 lurulldd -9.1 4
3188 lurulldd -9.1 4
3189 lurulldd -9.1 4
3190 lurulldd -9.1 4
3191 lurulldd -9.1 4
3192 lurulldd -9.1 4
3196 lurulldd -9.1 4
3202 lurulldd -9.1 4
3203 lurulldd -9.1 4
3204 lurulldd -9.1 4
3205 lurulldd -9.1 4
3206 lurulldd -9.1 4
3207 lurulldd -9.1 4
3208 lurulldd -9.1 4
3209 lurulldd -9.1 4
3212 lurulldd -9.1 4
3213 lurulldd -9.1 4
3214 lurulldd -9.1 4
3215 lurulldd -9.1 4
3216 lurulldd -9.1 4
3217 lurulldd -9.1 4
3247 lurulldd -9.1 4
3248 lurulldd -9.1 4
3249 lurulldd -9.1 4
3250 lurulldd -9.1 4
3251 lurulldd -9.1 4
3252 lurulldd -9.1 4
3253 lurulldd -9.1 4
3254 lurulldd -9.1 4
3255 lurulldd -9.1 4
3256 lurulldd -9.1 4
