Iteration_Number Randon_Choice Neighbour_Count
329 2 4
330 3 4
331 0 5
332 4 6
333 4 5
334 1 6
335 5 6
336 2 6
337 5 6
338 3 6
339 0 8
340 1 7
341 4 7
342 3 7
343 1 7
344 7 8
345 2 7
346 6 7
347 2 8
348 3 8
349 5 8
350 7 8
351 2 7
352 1 7
353 0 7
354 3 6
355 2 6
356 0 6
357 2 7
358 4 7
359 2 5
360 3 5
361 0 7
362 1 6
363 3 7
364 4 7
365 0 8
366 6 7
367 6 8
368 1 8
369 1 8
370 4 8
371 1 8
372 1 7
373 4 8
374 1 7
375 4 6
376 3 6
377 2 6
378 0 6
379 0 7
380 3 7
381 5 7
382 5 7
383 3 7
384 2 7
385 0 7
386 0 7
387 3 7
388 6 7
389 5 7
390 1 7
391 1 6
392 2 7
393 3 7
394 5 7
395 3 6
396 2 6
397 3 6
398 4 7
399 0 5
400 1 5
401 1 5
402 1 6
403 4 5
404 4 8
405 1 8
406 3 7
407 5 7
408 3 7
409 2 7
410 6 7
411 0 6
412 1 6
413 5 6
414 1 7
415 1 8
416 5 7
417 2 7
418 0 7
419 6 7
420 0 7
421 5 7
422 3 7
423 2 7
424 0 7
425 6 7
426 0 6
427 2 6
428 2 6
429 4 6
430 3 7
431 4 7
432 6 7
433 3 8
434 1 8
435 2 8
436 2 8
437 0 8
438 7 8
439 5 7
440 2 6
441 1 6
442 2 7
443 5 7
444 1 7
445 6 8
446 1 8
447 5 7
448 1 7
449 3 8
450 1 8
451 2 7
452 1 7
453 5 8
454 4 6
455 0 8
456 6 7
457 5 8
458 4 7
459 1 7
460 4 7
461 5 8
462 4 7
463 1 8
464 7 8
465 3 7
466 3 7
467 5 7
468 3 7
469 2 7
470 4 7
471 6 7
472 0 8
473 0 7
474 2 7
475 2 7
476 5 7
477 3 7
478 6 7
479 0 7
480 0 7
481 5 7
482 1 7
483 6 8
484 2 8
485 0 8
486 1 7
487 1 8
488 6 7
489 3 7
490 4 7
491 0 8
492 1 8
493 2 8
494 7 8
495 0 7
496 6 7
497 3 8
498 7 8
499 0 7
500 5 7
501 3 6
502 0 6
503 0 6
504 5 6
505 2 7
506 3 7
507 3 7
508 2 7
509 4 7
510 0 8
511 8 9
512 0 9
513 6 8
514 5 8
515 6 7
516 1 7
517 6 7
518 1 6
519 2 6
520 4 6
521 2 6
522 1 6
523 0 6
524 0 6
525 1 6
526 5 7
527 4 7
528 3 7
529 0 7
530 4 6
531 1 8
532 1 7
533 3 8
534 1 8
535 5 7
536 1 7
537 0 8
538 0 7
539 6 7
540 5 8
541 5 7
542 2 7
543 4 7
544 4 8
545 2 8
546 2 8
547 7 8
548 5 8
549 6 7
550 1 7
551 4 7
552 1 7
553 0 8
554 5 7
555 1 7
556 3 8
557 2 8
558 5 8
559 0 8
560 1 8
561 2 8
562 5 8
563 5 7
564 3 7
565 0 7
566 3 7
567 4 7
568 0 7
569 1 7
570 0 7
571 0 7
572 6 7
573 1 6
574 4 7
575 1 6
576 2 5
577 2 5
578 4 5
579 0 6
580 3 7
581 3 7
582 2 7
583 2 7
584 6 7
585 6 7
586 4 7
587 4 7
588 4 7
589 0 7
590 5 6
591 4 6
592 0 6
593 1 6
594 0 6
595 4 6
596 5 6
597 1 6
598 0 6
599 2 6
600 1 6
601 4 6
602 0 6
603 2 6
604 5 6
605 3 6
606 1 6
607 1 6
608 3 6
609 4 6
610 3 6
611 5 6
612 4 6
613 4 6
614 1 6
615 4 6
616 5 6
617 3 4
618 0 6
619 4 7
620 2 4
621 2 4
622 3 4
623 0 7
624 4 6
625 1 6
626 2 6
627 0 6
628 3 7
629 4 7
630 1 7
631 2 7
632 4 7
633 0 7
634 1 6
635 3 6
636 1 6
637 0 6
638 3 7
639 5 7
640 0 4
641 2 4
642 1 4
643 3 4
644 5 6
645 1 4
646 0 4
647 2 4
648 3 4
649 4 6
650 5 6
651 2 6
652 1 6
653 4 6
654 0 6
655 5 6
656 2 6
657 5 6
658 3 4
659 4 6
660 1 6
661 4 6
662 4 6
663 2 6
664 4 6
665 1 6
666 5 6
667 4 6
668 5 6
669 5 6
670 2 6
671 0 6
672 3 6
673 0 6
674 0 6
675 2 6
676 5 6
677 3 4
678 3 6
679 3 6
680 4 6
681 2 6
682 1 6
683 5 6
684 4 6
685 4 6
686 4 6
687 3 6
688 3 4
689 0 6
690 3 6
691 3 6
692 1 6
693 1 6
694 2 6
695 5 6
696 0 6
697 2 6
698 4 6
699 0 6
700 1 7
701 0 7
702 2 6
703 0 6
704 0 6
705 3 6
706 4 6
707 5 6
708 0 4
709 0 4
710 0 4
711 0 4
712 0 4
713 3 4
714 1 6
715 1 6
716 4 6
717 0 6
718 5 6
719 4 6
720 5 6
721 0 6
722 2 6
723 3 6
724 4 6
725 0 6
726 1 6
727 3 6
728 2 6
729 0 6
730 5 6
731 5 6
732 5 6
733 0 4
734 0 4
735 3 4
736 3 6
737 2 4
738 5 6
739 2 6
740 1 4
741 3 4
742 1 6
743 0 6
744 0 6
745 2 6
746 0 6
747 5 6
748 1 6
749 4 6
750 1 4
751 2 4
752 2 4
753 0 6
754 0 6
755 2 6
756 2 4
757 3 4
758 1 6
759 0 6
760 5 6
761 1 6
762 5 6
763 2 6
764 0 6
765 0 6
766 3 6
767 4 6
768 0 6
769 3 7
770 5 7
771 4 7
772 6 7
773 4 5
774 6 7
775 6 7
776 2 7
777 3 7
778 6 7
779 4 7
780 1 7
781 3 7
782 5 7
783 1 7
784 6 7
785 1 7
786 3 7
787 1 7
788 2 7
789 2 7
790 3 7
791 4 7
792 4 7
793 1 4
794 2 4
795 0 4
796 0 4
797 1 4
798 1 4
799 0 4
800 3 4
801 3 6
802 5 6
803 1 4
804 0 4
805 2 4
806 0 4
807 2 4
808 0 6
809 2 6
810 2 4
811 3 4
812 0 6
813 1 7
814 1 7
815 0 7
816 2 6
817 4 6
818 2 4
819 0 4
820 2 4
821 0 4
822 3 4
823 1 6
824 1 6
825 2 6
826 4 6
827 5 6
828 0 6
829 0 6
830 3 6
831 0 6
832 5 6
833 3 6
834 2 4
835 1 4
836 0 4
837 2 4
838 2 4
839 3 4
840 2 7
841 2 7
842 6 7
843 4 7
844 0 7
845 3 6
846 1 6
847 5 6
848 1 4
849 3 4
850 1 6
851 5 6
852 2 4
853 2 4
854 2 4
855 2 4
856 0 4
857 0 4
858 1 4
859 0 4
860 1 4
861 0 4
862 3 4
863 3 6
864 1 6
865 2 6
866 5 6
867 2 6
868 5 6
869 3 6
870 4 6
871 2 6
872 3 6
873 0 6
874 1 6
875 5 6
876 2 6
877 5 6
878 0 6
879 5 6
880 2 6
881 5 6
882 1 6
883 3 6
884 3 6
885 4 6
886 4 6
887 1 6
888 5 6
889 0 6
890 2 6
891 3 6
892 4 6
893 3 6
894 2 6
895 5 6
896 1 4
897 0 4
898 3 4
899 5 6
900 1 6
901 1 6
902 0 6
903 2 6
904 3 6
905 4 6
906 1 6
907 5 6
908 4 6
909 4 6
910 5 6
911 0 4
912 2 4
913 2 4
914 3 4
915 1 6
916 2 6
917 5 6
918 1 6
919 3 6
920 1 6
921 0 6
922 4 6
923 0 4
924 0 4
925 0 4
926 2 4
927 3 4
928 1 7
929 4 7
930 0 7
931 0 6
932 3 7
933 5 7
934 1 7
935 1 7
936 5 7
937 5 7
938 2 7
939 4 7
940 0 7
941 3 6
942 2 6
943 1 6
944 1 6
945 3 6
946 5 6
947 5 6
948 2 4
949 2 4
950 1 4
951 1 4
952 1 4
953 0 4
954 0 4
955 0 4
956 1 5
957 4 5
958 3 7
959 0 7
960 2 6
961 5 6
962 2 6
963 0 6
964 0 6
965 4 6
966 0 6
967 5 6
968 1 4
969 0 4
970 1 4
971 2 4
972 3 4
973 0 6
974 1 6
975 2 6
976 2 6
977 0 6
978 0 6
979 0 6
980 3 6
981 3 6
982 3 6
983 4 6
984 4 6
985 5 6
986 0 6
987 4 6
988 4 6
989 2 6
990 3 6
991 1 4
992 0 4
993 0 4
994 2 4
995 0 4
996 3 4
997 3 6
998 5 6
999 5 6
1000 2 6
1001 2 6
1002 0 6
1003 0 6
1004 1 6
1005 5 6
1006 1 4
1007 1 4
1008 3 4
1009 3 6
1010 1 6
1011 2 6
1012 4 6
1013 1 6
1014 2 6
1015 4 6
1016 0 6
1017 0 6
1018 3 7
1019 4 7
1020 5 7
1021 2 7
1022 3 7
1023 0 7
1024 3 6
1025 3 6
1026 5 6
1027 1 6
1028 3 6
1029 2 6
1030 1 6
1031 3 6
1032 4 6
1033 3 6
1034 0 6
1035 4 6
1036 2 6
1037 5 6
1038 4 6
1039 4 6
1040 3 6
1041 1 6
1042 5 6
1043 4 6
1044 4 6
1045 1 6
1046 4 6
1047 2 6
1048 3 6
1049 1 6
1050 3 6
1051 4 6
1052 2 6
1053 5 6
1054 3 4
1055 2 6
1056 2 6
1057 2 6
1058 5 6
1059 5 6
1060 2 6
1061 4 6
1062 5 6
1063 2 4
1064 0 4
1065 0 4
1066 1 4
1067 0 4
1068 0 4
1069 0 4
1070 1 4
1071 0 4
1072 2 4
1073 3 4
1074 1 6
1075 4 6
1076 5 6
1077 1 4
1078 3 4
1079 5 6
1080 3 6
1081 0 6
1082 1 6
1083 1 6
1084 4 6
1085 1 6
1086 3 6
1087 2 6
1088 1 6
1089 0 6
1090 5 6
1091 1 6
1092 0 6
1093 5 7
1094 5 7
1095 2 7
1096 0 7
1097 2 6
1098 4 6
1099 0 6
1100 2 6
1101 2 6
1102 4 6
1103 0 6
1104 5 7
1105 0 7
1106 4 6
1107 3 6
1108 0 6
1109 0 6
1110 2 6
1111 5 6
1112 2 4
1113 1 4
1114 1 4
1115 0 4
1116 1 4
1117 1 4
1118 2 4
1119 3 4
1120 2 6
1121 3 6
1122 4 6
1123 2 6
1124 3 6
1125 2 6
1126 4 6
1127 1 6
1128 3 6
1129 3 4
1130 3 6
1131 0 6
1132 3 6
1133 5 6
1134 1 6
1135 1 6
1136 0 6
1137 4 6
1138 3 6
1139 4 6
1140 2 6
1141 0 6
1142 0 6
1143 3 6
1144 3 6
1145 5 6
1146 1 6
1147 3 6
1148 5 6
1149 4 6
1150 2 4
1151 2 4
1152 0 4
1153 0 4
1154 3 4
1155 0 6
1156 1 6
1157 0 6
1158 1 6
1159 2 6
1160 3 6
1161 0 6
1162 0 6
1163 2 6
1164 1 6
1165 4 6
1166 3 6
1167 2 6
1168 0 6
1169 2 6
1170 0 6
1171 3 6
1172 3 6
1173 5 6
1174 2 6
1175 3 6
1176 4 6
1177 2 6
1178 5 6
1179 2 4
1180 0 4
1181 0 4
1182 0 4
1183 1 4
1184 2 4
1185 1 4
1186 3 4
1187 3 6
1188 4 6
1189 1 6
1190 5 6
1191 2 4
1192 3 6
1193 2 4
1194 1 4
1195 0 4
1196 3 4
1197 4 6
1198 1 6
1199 0 6
1200 3 6
1201 1 6
1202 2 6
1203 2 6
1204 4 6
1205 2 4
1206 4 6
1207 1 4
1208 0 4
1209 2 4
1210 1 4
1211 3 4
1212 3 6
1213 4 6
1214 2 6
1215 3 6
1216 0 6
1217 3 6
1218 0 6
1219 2 6
1220 0 6
1221 2 6
1222 1 6
1223 3 6
1224 2 6
1225 5 6
1226 5 6
1227 2 4
1228 1 4
1229 2 4
1230 2 4
1231 0 4
1232 2 4
1233 1 4
1234 1 4
1235 0 4
1236 3 4
1237 4 6
1238 2 4
1239 2 4
1240 2 4
1241 1 4
1242 0 4
1243 0 4
1244 3 4
1245 3 6
1246 5 6
1247 2 6
1248 4 6
1249 1 6
1250 5 6
1251 2 6
1252 1 6
1253 5 6
1254 3 6
1255 3 6
1256 4 6
1257 1 6
1258 2 6
1259 1 6
1260 5 6
1261 3 6
1262 4 6
1263 4 6
1264 3 4
1265 3 6
1266 3 6
1267 4 6
1268 1 6
1269 4 6
1270 1 6
1271 4 6
1272 5 6
1273 1 6
1274 4 6
1275 2 6
1276 0 6
1277 4 6
1278 3 6
1279 1 6
1280 2 6
1281 3 6
1282 5 6
1283 4 6
1284 4 6
1285 5 6
1286 3 4
1287 2 6
1288 1 6
1289 4 6
1290 3 6
1291 2 6
1292 1 6
1293 4 6
1294 2 6
1295 1 6
1296 5 6
1297 1 4
1298 3 4
1299 3 6
1300 5 6
1301 3 4
1302 3 6
1303 0 6
1304 0 6
1305 3 6
1306 1 6
1307 3 6
1308 0 6
1309 3 6
1310 5 6
1311 1 6
1312 0 6
1313 2 6
1314 4 6
1315 3 6
1316 3 6
1317 4 6
1318 5 6
1319 1 4
1320 2 4
1321 3 4
1322 3 6
1323 0 6
1324 2 7
1325 2 7
1326 0 7
1327 3 6
1328 4 6
1329 0 6
1330 0 6
1331 4 6
1332 5 6
1333 0 6
1334 5 7
1335 2 7
1336 4 7
1337 1 4
1338 1 4
1339 3 4
1340 2 7
1341 2 7
1342 2 7
1343 6 7
1344 1 5
1345 4 5
1346 2 4
1347 2 4
1348 3 4
1349 2 5
1350 2 5
1351 0 5
1352 2 5
1353 2 5
1354 1 5
1355 0 5
1356 2 4
1357 1 4
1358 2 4
1359 3 4
1360 0 6
1361 0 6
1362 2 6
1363 2 6
1364 2 6
1365 3 6
1366 1 6
1367 4 6
1368 0 6
1369 0 6
1370 2 6
1371 2 6
1372 5 6
1373 2 6
1374 2 6
1375 0 6
1376 2 6
1377 0 6
1378 3 6
1379 2 6
1380 4 6
1381 2 6
1382 4 6
1383 2 6
1384 0 6
1385 3 6
1386 3 6
1387 2 6
1388 3 6
1389 5 6
1390 0 6
1391 5 7
1392 4 7
1393 2 7
1394 2 7
1395 6 7
1396 0 7
1397 3 6
1398 3 6
1399 3 6
1400 2 6
1401 5 6
1402 3 4
1403 2 6
1404 3 6
1405 4 6
1406 3 6
1407 3 6
1408 5 6
1409 3 4
1410 5 6
1411 1 6
1412 0 6
1413 0 6
1414 5 6
1415 3 6
1416 3 6
1417 5 6
1418 1 4
1419 0 4
1420 1 4
1421 2 4
1422 0 4
1423 0 4
1424 2 4
1425 0 4
1426 2 4
1427 3 4
1428 0 6
1429 2 6
1430 5 6
1431 0 4
1432 0 4
1433 3 4
1434 0 6
1435 5 7
1436 3 7
1437 0 7
1438 5 6
1439 5 6
1440 0 6
1441 3 6
1442 0 4
1443 2 4
1444 2 4
1445 0 4
1446 0 4
1447 3 4
1448 0 6
1449 0 6
1450 5 6
1451 5 6
1452 3 6
1453 2 6
1454 5 6
1455 1 6
1456 4 6
1457 3 6
1458 1 6
1459 4 6
1460 4 6
1461 2 6
1462 1 6
1463 1 6
1464 3 6
1465 4 6
1466 1 6
1467 0 6
1468 5 6
1469 3 4
1470 2 6
1471 4 6
1472 1 6
1473 3 6
1474 5 6
1475 1 6
1476 1 6
1477 5 6
1478 5 6
1479 4 6
1480 1 6
1481 1 6
1482 3 6
1483 1 6
1484 3 6
1485 2 6
1486 0 6
1487 5 6
1488 0 6
1489 2 6
1490 5 6
1491 4 6
1492 5 6
1493 1 6
1494 1 6
1495 5 6
1496 1 6
1497 2 6
1498 4 6
1499 1 6
1500 5 6
1501 1 6
1502 5 6
1503 5 6
1504 0 6
1505 1 6
1506 0 6
1507 1 6
1508 1 6
1509 0 6
1510 3 6
1511 3 6
1512 2 6
1513 5 6
1514 3 4
1515 5 6
1516 0 6
1517 5 6
1518 4 6
1519 2 6
1520 1 6
1521 2 6
1522 0 6
1523 3 6
1524 1 6
1525 5 6
1526 2 4
1527 0 4
1528 1 4
1529 1 4
1530 2 4
1531 5 6
1532 1 6
1533 1 6
1534 5 6
1535 0 6
1536 3 6
1537 3 4
1538 4 6
1539 1 6
1540 2 6
1541 2 6
1542 3 6
1543 3 6
1544 4 6
1545 0 6
1546 1 6
1547 3 6
1548 2 6
1549 3 6
1550 1 6
1551 5 6
1552 3 6
1553 1 6
1554 5 6
1555 1 6
1556 2 6
1557 1 6
1558 5 6
1559 0 4
1560 0 4
1561 3 4
1562 4 6
1563 4 6
1564 4 6
1565 0 6
1566 2 6
1567 4 6
1568 5 6
1569 1 4
1570 3 4
1571 1 6
1572 1 6
1573 0 6
1574 1 6
1575 5 6
1576 1 6
1577 5 6
1578 1 6
1579 4 6
1580 3 6
1581 1 4
1582 1 5
1583 4 5
1584 0 5
1585 2 5
1586 0 4
1587 1 4
1588 1 4
1589 2 5
1590 3 4
1591 6 7
1592 5 7
1593 4 7
1594 6 7
1595 1 5
1596 3 5
1597 4 5
1598 6 7
1599 3 7
1600 5 7
1601 5 7
1602 5 7
1603 1 7
1604 4 6
1605 5 6
1606 3 5
1607 1 5
1608 2 5
1609 3 5
1610 1 5
1611 2 5
1612 2 5
1613 2 5
1614 1 5
1615 3 5
1616 1 5
1617 5 6
1618 3 7
1619 4 7
1620 7 8
1621 1 7
1622 1 6
1623 2 7
1624 1 7
1625 2 6
1626 1 6
1627 4 7
1628 4 6
1629 6 7
1630 4 8
1631 6 7
1632 1 6
1633 2 5
1634 3 5
1635 0 5
1636 4 5
1637 5 6
1638 2 5
1639 1 5
1640 0 6
1641 4 6
1642 0 5
1643 3 4
1644 5 6
1645 2 6
1646 2 6
1647 4 6
1648 0 6
1649 5 6
1650 0 4
1651 0 4
1652 1 4
1653 2 4
1654 0 4
1655 3 4
1656 2 6
1657 1 6
1658 1 6
1659 0 6
1660 3 7
1661 5 7
1662 2 7
1663 2 7
1664 0 7
1665 2 6
1666 5 6
1667 3 6
1668 4 6
1669 1 6
1670 4 6
1671 0 6
1672 2 6
1673 5 6
1674 1 6
1675 3 6
1676 3 4
1677 5 6
1678 3 6
1679 2 6
1680 3 6
1681 2 6
1682 4 6
1683 3 6
1684 3 6
1685 4 6
1686 0 6
1687 2 6
1688 0 6
1689 1 6
1690 5 6
1691 1 4
1692 2 4
1693 3 4
1694 1 6
1695 0 6
1696 1 7
1697 1 7
1698 5 7
1699 2 7
1700 6 7
1701 0 5
1702 1 4
1703 2 4
1704 1 4
1705 2 4
1706 3 4
1707 4 6
1708 4 6
1709 2 6
1710 0 6
1711 4 6
1712 4 6
1713 1 6
1714 2 6
1715 1 6
1716 5 6
1717 3 4
1718 0 6
1719 4 6
1720 2 6
1721 3 6
1722 1 6
1723 5 6
1724 2 6
1725 4 6
1726 2 4
1727 2 4
1728 0 4
1729 2 4
1730 1 4
1731 1 4
1732 3 4
1733 2 6
1734 1 6
1735 2 6
1736 3 6
1737 2 6
1738 2 6
1739 1 6
1740 3 6
1741 3 6
1742 0 6
1743 3 6
1744 2 6
1745 1 6
1746 5 6
1747 3 4
1748 3 6
1749 4 6
1750 4 6
1751 4 6
1752 2 6
1753 0 6
1754 0 6
1755 2 6
1756 4 6
1757 0 6
1758 0 6
1759 0 6
1760 2 7
1761 6 7
1762 2 7
1763 4 7
1764 5 7
1765 5 7
1766 2 7
1767 2 7
1768 6 7
1769 4 7
1770 5 7
1771 3 4
1772 2 7
1773 5 7
1774 4 7
1775 0 7
1776 5 6
1777 0 6
1778 0 6
1779 4 6
1780 0 6
1781 3 6
1782 4 6
1783 4 6
1784 4 6
1785 2 6
1786 5 6
1787 3 6
1788 0 6
1789 3 6
1790 4 6
1791 0 6
1792 3 6
1793 1 4
1794 0 4
1795 0 4
1796 1 4
1797 0 4
1798 1 4
1799 0 4
1800 3 4
1801 5 7
1802 4 7
1803 2 4
1804 2 4
1805 2 4
1806 1 4
1807 0 4
1808 2 4
1809 3 4
1810 5 6
1811 0 4
1812 3 5
1813 3 6
1814 4 6
1815 4 5
1816 2 7
1817 3 7
1818 6 7
1819 1 7
1820 6 7
1821 0 7
1822 4 6
1823 4 6
1824 2 6
1825 5 6
1826 4 6
1827 5 6
1828 4 6
1829 3 6
1830 3 6
1831 1 4
1832 1 4
1833 1 4
1834 2 4
1835 1 4
1836 2 5
1837 3 4
1838 0 6
1839 4 6
1840 3 6
1841 5 6
1842 0 4
1843 3 4
1844 3 6
1845 5 6
1846 2 6
1847 4 6
1848 3 6
1849 2 6
1850 2 6
1851 0 6
1852 5 6
1853 0 6
1854 5 6
1855 3 4
1856 2 6
1857 5 6
1858 3 4
1859 5 6
1860 0 6
1861 1 6
1862 3 6
1863 0 4
1864 1 4
1865 3 4
1866 3 6
1867 1 4
1868 3 4
1869 4 6
1870 0 6
1871 5 6
1872 0 4
1873 3 5
1874 1 5
1875 4 5
1876 3 5
1877 0 6
1878 5 6
1879 0 6
1880 3 6
1881 0 7
1882 6 7
1883 2 5
1884 1 4
1885 2 4
1886 2 4
1887 2 4
1888 0 4
1889 2 3
1890 1 5
1891 4 5
1892 0 6
1893 0 5
1894 0 6
1895 0 5
1896 2 6
1897 4 6
1898 4 5
1899 4 6
1900 2 6
1901 0 6
1902 0 5
1903 5 6
1904 1 6
1905 5 6
1906 0 5
1907 0 4
1908 0 4
1909 1 5
1910 4 5
1911 1 6
1912 2 6
1913 3 6
1914 0 8
1915 6 8
1916 6 8
1917 7 8
1918 5 8
1919 7 8
1920 1 7
1921 3 6
1922 1 6
1923 5 7
1924 4 7
1925 2 5
1926 1 5
1927 0 5
1928 1 4
1929 1 4
1930 0 4
1931 4 5
1932 3 6
1933 0 6
1934 3 5
1935 1 5
1936 4 5
1937 1 5
1938 0 5
1939 5 6
1940 2 6
1941 5 6
1942 4 5
1943 4 6
1944 3 6
1945 4 6
1946 0 6
1947 0 5
1948 4 6
1949 4 6
1950 2 6
1951 0 6
1952 1 5
1953 3 5
1954 2 5
1955 4 5
1956 2 4
1957 2 4
1958 2 4
1959 1 4
1960 0 4
1961 1 5
1962 1 5
1963 0 5
1964 1 4
1965 0 4
1966 3 4
1967 1 5
1968 0 5
1969 2 5
1970 4 5
1971 1 5
1972 3 5
1973 0 5
1974 1 5
1975 1 5
1976 2 5
1977 3 5
1978 0 4
1979 1 5
1980 0 5
1981 2 4
1982 0 4
1983 0 4
1984 0 5
1985 3 4
1986 2 5
1987 0 5
1988 0 6
1989 0 5
1990 3 5
1991 0 4
1992 2 5
1993 0 5
1994 3 4
1995 1 5
1996 4 5
1997 2 5
1998 3 5
1999 3 4
2000 2 5
2001 1 5
2002 2 5
2003 3 5
2004 3 5
2005 0 5
2006 2 6
2007 4 6
2008 1 5
2009 3 5
2010 2 3
2011 3 5
2012 1 3
2013 1 3
2014 1 3
2015 0 3
2016 0 4
2017 2 3
2018 3 5
2019 0 3
2020 0 4
2021 1 3
2022 0 3
2023 2 3
2024 3 5
2025 1 3
2026 0 3
2027 2 4
2028 0 4
2029 0 3
2030 0 4
2031 1 3
2032 0 3
2033 1 4
2034 2 4
2035 2 4
2036 3 4
2037 3 4
2038 2 5
2039 4 5
2040 1 5
2041 2 5
2042 3 5
2043 3 5
2044 0 4
2045 2 5
2046 0 5
2047 3 5
2048 4 6
2049 0 6
2050 5 6
2051 6 7
2052 4 6
2053 3 8
2054 5 8
2055 1 6
2056 3 6
2057 0 6
2058 0 7
2059 3 6
2060 6 7
2061 0 8
2062 3 8
2063 5 7
2064 1 7
2065 2 7
2066 0 7
2067 2 7
2068 5 7
2069 5 7
2070 0 6
2071 5 7
2072 7 8
2073 0 7
2074 1 6
2075 2 7
2076 1 7
2077 6 7
2078 3 7
2079 3 7
2080 2 7
2081 3 7
2082 0 7
2083 3 6
2084 4 6
2085 4 8
2086 4 8
2087 3 7
2088 6 7
2089 3 7
2090 3 7
2091 5 7
2092 6 7
2093 1 6
2094 0 6
2095 3 5
2096 3 5
2097 1 5
2098 2 5
2099 1 5
2100 3 6
2101 3 6
2102 4 6
2103 0 5
2104 2 4
2105 0 6
2106 3 6
2107 0 4
2108 2 4
2109 1 4
2110 3 4
2111 3 6
2112 3 6
2113 4 6
2114 0 6
2115 1 6
2116 1 6
2117 5 6
2118 2 4
2119 2 4
2120 3 4
2121 3 6
2122 2 6
2123 1 6
2124 1 6
2125 2 6
2126 5 6
2127 2 4
2128 0 4
2129 3 4
2130 4 6
2131 0 6
2132 5 6
2133 1 6
2134 4 6
2135 0 6
2136 3 6
